author,commits_number,bug_commits_number,total_fix_distance,total_find_bug_time,total_fix_bug_time,bug_ratio,average_fix_distance,average_find_bug_time,average_fix_bug_time,total_find_bug_time_day,total_fix_bug_time_day,average_find_bug_time_day,average_fix_bug_time_day
Lukasz Spintzyk,1,1,1.0,18293511.0,18293511.0,1.0,1.0,18293511.0,18293511.0,211.7304513888889,211.7304513888889,211.7304513888889,211.7304513888889
Lucy McCoy,1,1,2.5,212406528.5,399739184.0,1.0,2.5,212406528.5,399739184.0,2458.408894675926,4626.610925925926,2458.408894675926,4626.610925925926
Lassi Ylikojola,1,1,2.0,5874238.0,60803297.0,1.0,2.0,5874238.0,60803297.0,67.98886574074074,703.7418634259259,67.98886574074074,703.7418634259259
Kyle Chamberlin,1,1,1.0,173600.0,173600.0,1.0,1.0,173600.0,173600.0,2.009259259259259,2.009259259259259,2.009259259259259,2.009259259259259
Kshitij Soni,1,1,2.0,58058897.0,79130798.0,1.0,2.0,58058897.0,79130798.0,671.9779745370371,915.8657175925925,671.9779745370371,915.8657175925925
Krishna Chaitanya,1,1,1.0,22255345.0,22255345.0,1.0,1.0,22255345.0,22255345.0,257.5850115740741,257.5850115740741,257.5850115740741,257.5850115740741
kiki good,1,1,1.0,3445601.0,3445601.0,1.0,1.0,3445601.0,3445601.0,39.879641203703706,39.879641203703706,39.879641203703706,39.879641203703706
Kerstin Jonsson,1,1,3.0,245155573.0,286239691.0,1.0,3.0,245155573.0,286239691.0,2837.448761574074,3312.959386574074,2837.448761574074,3312.959386574074
Kazufumi Ikeda,2,1,1.0,19408090.0,19408090.0,0.5,1.0,19408090.0,19408090.0,224.6306712962963,224.6306712962963,224.6306712962963,224.6306712962963
Kasin Li,1,1,1.0,901342.0,901342.0,1.0,1.0,901342.0,901342.0,10.432199074074074,10.432199074074074,10.432199074074074,10.432199074074074
Kal Conley,1,1,1.0,3187061.0,3187061.0,1.0,1.0,3187061.0,3187061.0,36.88728009259259,36.88728009259259,36.88728009259259,36.88728009259259
Josue Albarran,1,1,1.0,32292682.0,32292682.0,1.0,1.0,32292682.0,32292682.0,373.75789351851853,373.75789351851853,373.75789351851853,373.75789351851853
Josh Snyder,1,1,1.0,19034518.0,19034518.0,1.0,1.0,19034518.0,19034518.0,220.3069212962963,220.3069212962963,220.3069212962963,220.3069212962963
Johann Baudy,1,1,6.0,46487295.5,204570862.0,1.0,6.0,46487295.5,204570862.0,538.0474016203704,2367.718310185185,538.0474016203704,2367.718310185185
Joerg Schmidbauer,1,1,1.0,7929191.0,7929191.0,1.0,1.0,7929191.0,7929191.0,91.77304398148148,91.77304398148148,91.77304398148148,91.77304398148148
Jiping Ma,1,1,1.0,4356901.0,4356901.0,1.0,1.0,4356901.0,4356901.0,50.42709490740741,50.42709490740741,50.42709490740741,50.42709490740741
Jimi Damon,1,1,1.0,80977351.0,80977351.0,1.0,1.0,80977351.0,80977351.0,937.2378587962963,937.2378587962963,937.2378587962963,937.2378587962963
Jacob Feder,1,1,1.0,366458.0,366458.0,1.0,1.0,366458.0,366458.0,4.241412037037037,4.241412037037037,4.241412037037037,4.241412037037037
Hung-Te Lin,1,1,1.0,2748084.0,2748084.0,1.0,1.0,2748084.0,2748084.0,31.806527777777777,31.806527777777777,31.806527777777777,31.806527777777777
Hristo Venev,1,1,1.0,2489388.0,2489388.0,1.0,1.0,2489388.0,2489388.0,28.812361111111112,28.812361111111112,28.812361111111112,28.812361111111112
Grzegorz Lyczba,1,1,3.0,49895996.0,88700818.0,1.0,3.0,49895996.0,88700818.0,577.4999537037037,1026.629837962963,577.4999537037037,1026.629837962963
Greg Hartman,1,1,1.0,31659604.0,31659604.0,1.0,1.0,31659604.0,31659604.0,366.43060185185186,366.43060185185186,366.43060185185186,366.43060185185186
From: jiang.adam@gmail.com,1,1,1.0,150519201.0,150519201.0,1.0,1.0,150519201.0,150519201.0,1742.1203819444445,1742.1203819444445,1742.1203819444445,1742.1203819444445
frederic RODO,1,1,2.0,314456782.0,350750278.0,1.0,2.0,314456782.0,350750278.0,3639.546087962963,4059.609699074074,3639.546087962963,4059.609699074074
Felix Walter,1,1,1.0,1134887.0,1134887.0,1.0,1.0,1134887.0,1134887.0,13.135266203703704,13.135266203703704,13.135266203703704,13.135266203703704
Erik Veijola,1,1,1.0,19276513.0,19276513.0,1.0,1.0,19276513.0,19276513.0,223.10778935185186,223.10778935185186,223.10778935185186,223.10778935185186
Elizabeth Kappler,1,1,3.0,2332247.0,6504580.0,1.0,3.0,2332247.0,6504580.0,26.99359953703704,75.28449074074074,26.99359953703704,75.28449074074074
Elaine Wang,1,1,1.0,52357416.0,52357416.0,1.0,1.0,52357416.0,52357416.0,605.9886111111111,605.9886111111111,605.9886111111111,605.9886111111111
Edwin Velds,1,1,3.333333333333333,67874291.0,109771145.66666669,1.0,3.333333333333333,67874291.0,109771145.66666669,785.5820717592593,1270.4993711419756,785.5820717592593,1270.4993711419756
Dustin McIntire,1,1,2.0,159753376.0,430424736.0,1.0,2.0,159753376.0,430424736.0,1848.9974074074073,4981.767777777778,1848.9974074074073,4981.767777777778
Douglas Lehr,1,1,1.0,86645638.0,86645638.0,1.0,1.0,86645638.0,86645638.0,1002.8430324074075,1002.8430324074075,1002.8430324074075,1002.8430324074075
Dmitry Petukhov,1,1,1.0,12757775.0,12757775.0,1.0,1.0,12757775.0,12757775.0,147.65943287037038,147.65943287037038,147.65943287037038,147.65943287037038
Dmitry Kozlov,1,1,2.0,29647960.0,270010509.0,1.0,2.0,29647960.0,270010509.0,343.1476851851852,3125.1216319444443,343.1476851851852,3125.1216319444443
Dinko Mironov,1,1,1.0,118438435.0,118438435.0,1.0,1.0,118438435.0,118438435.0,1370.8152199074075,1370.8152199074075,1370.8152199074075,1370.8152199074075
Detlef Urban,1,1,1.0,40878.0,40878.0,1.0,1.0,40878.0,40878.0,0.473125,0.473125,0.473125,0.473125
David Liu,1,1,1.0,4028945.0,4028945.0,1.0,1.0,4028945.0,4028945.0,46.63130787037037,46.63130787037037,46.63130787037037,46.63130787037037
David Hsu,1,1,1.0,7217333.0,7217333.0,1.0,1.0,7217333.0,7217333.0,83.53394675925927,83.53394675925927,83.53394675925927,83.53394675925927
Daniel Jedrychowski,1,1,1.0,54440784.0,54440784.0,1.0,1.0,54440784.0,54440784.0,630.1016666666667,630.1016666666667,630.1016666666667,630.1016666666667
Dan Fuhry,1,1,2.5,4185529.0,70516838.0,1.0,2.5,4185529.0,70516838.0,48.44362268518518,816.1671064814815,48.44362268518518,816.1671064814815
Damian Eppel,1,1,1.0,49303892.0,49303892.0,1.0,1.0,49303892.0,49303892.0,570.6468981481481,570.6468981481481,570.6468981481481,570.6468981481481
Da Lv,1,1,2.0,6764320.6,13528632.2,1.0,2.0,6764320.6,13528632.2,78.29074768518518,156.5813912037037,78.29074768518518,156.5813912037037
Csaba Kertesz,1,1,1.0,6715689.0,6715689.0,1.0,1.0,6715689.0,6715689.0,77.72788194444445,77.72788194444445,77.72788194444445,77.72788194444445
Cosmin Stoica,1,1,1.0,13136006.0,13136006.0,1.0,1.0,13136006.0,13136006.0,152.0371064814815,152.0371064814815,152.0371064814815,152.0371064814815
Christian Schmiedl,1,1,3.0,5244982.0,91138707.0,1.0,3.0,5244982.0,91138707.0,60.705810185185186,1054.8461458333334,60.705810185185186,1054.8461458333334
Chonggang Li,1,1,1.0,45455844.0,45455844.0,1.0,1.0,45455844.0,45455844.0,526.1093055555556,526.1093055555556,526.1093055555556,526.1093055555556
Channagoud Kadabi,1,1,1.0,3096528.0,3096528.0,1.0,1.0,3096528.0,3096528.0,35.839444444444446,35.839444444444446,35.839444444444446,35.839444444444446
CHANDAN VN,1,1,2.0,32731092.0,37333257.0,1.0,2.0,32731092.0,37333257.0,378.83208333333334,432.09788194444445,378.83208333333334,432.09788194444445
Boris Glimcher,1,1,2.0,2.0,33904265.0,1.0,2.0,2.0,33904265.0,2.3148148148148147e-05,392.41047453703703,2.3148148148148147e-05,392.41047453703703
Bo He,1,1,1.0,6228456.0,6228456.0,1.0,1.0,6228456.0,6228456.0,72.0886111111111,72.0886111111111,72.0886111111111,72.0886111111111
Bockholdt Arne,1,1,1.0,3802590.0,3802590.0,1.0,1.0,3802590.0,3802590.0,44.01145833333333,44.01145833333333,44.01145833333333,44.01145833333333
Bill Hong,1,1,1.0,71254190.0,71254190.0,1.0,1.0,71254190.0,71254190.0,824.7012731481482,824.7012731481482,824.7012731481482,824.7012731481482
Benjamin Fair,1,1,1.0,11911942.0,11911942.0,1.0,1.0,11911942.0,11911942.0,137.86969907407408,137.86969907407408,137.86969907407408,137.86969907407408
Ben Ho,1,1,1.0,7516258.0,7516258.0,1.0,1.0,7516258.0,7516258.0,86.99372685185185,86.99372685185185,86.99372685185185,86.99372685185185
Atif Niyaz,1,1,1.0,3126535.0,3126535.0,1.0,1.0,3126535.0,3126535.0,36.18674768518518,36.18674768518518,36.18674768518518,36.18674768518518
Ashwini Pahuja,1,1,1.0,100797162.0,100797162.0,1.0,1.0,100797162.0,100797162.0,1166.6338194444445,1166.6338194444445,1166.6338194444445,1166.6338194444445
Arthur Gautier,1,1,1.0,1974981.0,1974981.0,1.0,1.0,1974981.0,1974981.0,22.85857638888889,22.85857638888889,22.85857638888889,22.85857638888889
Anirudh Gupta,1,1,1.0,2051048.0,2051048.0,1.0,1.0,2051048.0,2051048.0,23.73898148148148,23.73898148148148,23.73898148148148,23.73898148148148
Ananth Jasty,1,1,1.0,1071943.0,1071943.0,1.0,1.0,1071943.0,1071943.0,12.406747685185184,12.406747685185184,12.406747685185184,12.406747685185184
Amine Kherbouche,1,1,1.0,591574.0,591574.0,1.0,1.0,591574.0,591574.0,6.846921296296296,6.846921296296296,6.846921296296296,6.846921296296296
Alex Naslednikov,1,1,2.0,117565056.0,291485736.0,1.0,2.0,117565056.0,291485736.0,1360.7066666666667,3373.6775,1360.7066666666667,3373.6775
Alan Mizrahi,1,1,1.0,9017009.0,9017009.0,1.0,1.0,9017009.0,9017009.0,104.3635300925926,104.3635300925926,104.3635300925926,104.3635300925926
Alan Adamson,1,1,1.0,1619569.0,1619569.0,1.0,1.0,1619569.0,1619569.0,18.745011574074073,18.745011574074073,18.745011574074073,18.745011574074073
Aaron Kramer,1,1,1.0,4127138.0,4127138.0,1.0,1.0,4127138.0,4127138.0,47.767800925925926,47.767800925925926,47.767800925925926,47.767800925925926
Yury Kylulin,2,1,2.0,2939869.0,34507766.0,0.5,2.0,2939869.0,34507766.0,34.02626157407408,399.39543981481484,34.02626157407408,399.39543981481484
Yunhao Tian,2,1,1.0,4728828.0,4728828.0,0.5,1.0,4728828.0,4728828.0,54.73180555555555,54.73180555555555,54.73180555555555,54.73180555555555
Xuewei Zhang,2,1,1.0,13721286.0,13721286.0,0.5,1.0,13721286.0,13721286.0,158.81118055555555,158.81118055555555,158.81118055555555,158.81118055555555
Xiaodong Xu,2,1,1.0,95333761.0,95333761.0,0.5,1.0,95333761.0,95333761.0,1103.4000115740741,1103.4000115740741,1103.4000115740741,1103.4000115740741
Wonjoon Lee,2,1,1.3333333333333333,19964332.0,28863942.0,0.5,1.3333333333333333,19964332.0,28863942.0,231.06865740740741,334.0734027777778,231.06865740740741,334.0734027777778
Werner Cornelius,2,1,3.0,119017582.0,251590349.0,0.5,3.0,119017582.0,251590349.0,1377.518310185185,2911.925335648148,1377.518310185185,2911.925335648148
Wen Huang,2,1,1.0,4060078.0,4060078.0,0.5,1.0,4060078.0,4060078.0,46.991643518518515,46.991643518518515,46.991643518518515,46.991643518518515
Veli-Pekka Peltola,2,1,6.0,52545163.0,229035494.0,0.5,6.0,52545163.0,229035494.0,608.1616087962963,2650.8737731481483,608.1616087962963,2650.8737731481483
Varad Gautam,2,1,1.0,13849733.0,13849733.0,0.5,1.0,13849733.0,13849733.0,160.29783564814815,160.29783564814815,160.29783564814815,160.29783564814815
Tyler Hall,2,2,2.333333333333333,235638375.66666663,294547969.3333333,1.0,1.1666666666666665,117819187.83333331,147273984.66666666,2727.2960146604933,3409.1200154320986,1363.6480073302466,1704.5600077160493
Tor Jeremiassen,2,1,1.0,36923949.0,36923949.0,0.5,1.0,36923949.0,36923949.0,427.36052083333334,427.36052083333334,427.36052083333334,427.36052083333334
Tom Briden,2,1,2.0,10035342.666666666,15631116.0,0.5,2.0,10035342.666666666,15631116.0,116.14979938271604,180.91569444444445,116.14979938271604,180.91569444444445
Thomas Haller,2,1,1.0,160057247.0,160057247.0,0.5,1.0,160057247.0,160057247.0,1852.5144328703705,1852.5144328703705,1852.5144328703705,1852.5144328703705
Terry Lam,2,1,2.0,107188026.0,116990318.0,0.5,2.0,107188026.0,116990318.0,1240.6021527777777,1354.0546064814814,1240.6021527777777,1354.0546064814814
Tali Perry,6,1,1.0,2682282.0,2682282.0,0.16666666666666666,1.0,2682282.0,2682282.0,31.044930555555556,31.044930555555556,31.044930555555556,31.044930555555556
Sushmita Susheelendra,2,1,1.0,2276868.0,2276868.0,0.5,1.0,2276868.0,2276868.0,26.35263888888889,26.35263888888889,26.35263888888889,26.35263888888889
Steve Shih,2,1,1.0,57365771.0,57365771.0,0.5,1.0,57365771.0,57365771.0,663.9556828703704,663.9556828703704,663.9556828703704,663.9556828703704
Steve Douthit,2,1,1.0,8528076.0,8528076.0,0.5,1.0,8528076.0,8528076.0,98.70458333333333,98.70458333333333,98.70458333333333,98.70458333333333
Shun-Chih Yu,2,1,1.0,16315479.0,16315479.0,0.5,1.0,16315479.0,16315479.0,188.8365625,188.8365625,188.8365625,188.8365625
Shubham Bansal,2,1,1.0,12459762.0,12459762.0,0.5,1.0,12459762.0,12459762.0,144.21020833333333,144.21020833333333,144.21020833333333,144.21020833333333
Shreesha Rajashekar,2,1,2.0,5.0,9702605.0,0.5,2.0,5.0,9702605.0,5.787037037037037e-05,112.29866898148148,5.787037037037037e-05,112.29866898148148
shaoming chen,2,1,2.0,832988.5,1812067.0,0.5,2.0,832988.5,1812067.0,9.641070601851851,20.972997685185184,9.641070601851851,20.972997685185184
Sergei Ianovich,2,1,1.0,175992.0,175992.0,0.5,1.0,175992.0,175992.0,2.0369444444444444,2.0369444444444444,2.0369444444444444,2.0369444444444444
Santosh Yaraganavi,2,1,3.333333333333333,64537474.66666666,126512120.0,0.5,3.333333333333333,64537474.66666666,126512120.0,746.9615123456789,1464.2606481481482,746.9615123456789,1464.2606481481482
Romain Baeriswyl,2,1,1.0,27569156.0,27569156.0,0.5,1.0,27569156.0,27569156.0,319.0874537037037,319.0874537037037,319.0874537037037,319.0874537037037
Richard Watts,2,1,1.0,9583304.0,9583304.0,0.5,1.0,9583304.0,9583304.0,110.91787037037037,110.91787037037037,110.91787037037037,110.91787037037037
Raymond Tan,2,1,1.6666666666666667,29302915.66666667,33025759.0,0.5,1.6666666666666667,29302915.66666667,33025759.0,339.15411651234575,382.24258101851854,339.15411651234575,382.24258101851854
Ranjit Waghmode,2,1,1.0,1223592.0,1223592.0,0.5,1.0,1223592.0,1223592.0,14.161944444444444,14.161944444444444,14.161944444444444,14.161944444444444
Rajvi Jingar,2,1,1.0,6849391.0,6849391.0,0.5,1.0,6849391.0,6849391.0,79.2753587962963,79.2753587962963,79.2753587962963,79.2753587962963
Radu Solea,2,1,1.0,715678.0,715678.0,0.5,1.0,715678.0,715678.0,8.283310185185185,8.283310185185185,8.283310185185185,8.283310185185185
Radoslaw Biernacki,2,1,1.0,2435715.0,2435715.0,0.5,1.0,2435715.0,2435715.0,28.191145833333334,28.191145833333334,28.191145833333334,28.191145833333334
Qiu Peiyang,2,1,1.1666666666666667,4032995.333333334,4635993.0,0.5,1.1666666666666667,4032995.333333334,4635993.0,46.67818672839507,53.65732638888889,46.67818672839507,53.65732638888889
Prakash Kamliya,2,1,1.0,10400310.0,10400310.0,0.5,1.0,10400310.0,10400310.0,120.37395833333333,120.37395833333333,120.37395833333333,120.37395833333333
Philipp Kirchhofer,2,1,1.0,8644192.0,8644192.0,0.5,1.0,8644192.0,8644192.0,100.04851851851852,100.04851851851852,100.04851851851852,100.04851851851852
Phani Movva,2,1,1.0,10456482.0,10456482.0,0.5,1.0,10456482.0,10456482.0,121.02409722222222,121.02409722222222,121.02409722222222,121.02409722222222
Petr Malat,2,1,1.0,36562550.0,36562550.0,0.5,1.0,36562550.0,36562550.0,423.177662037037,423.177662037037,423.177662037037,423.177662037037
Peter Pan,2,1,1.0,18669104.0,18669104.0,0.5,1.0,18669104.0,18669104.0,216.0775925925926,216.0775925925926,216.0775925925926,216.0775925925926
Peter Fink,2,1,1.0,867379.0,867379.0,0.5,1.0,867379.0,867379.0,10.039108796296297,10.039108796296297,10.039108796296297,10.039108796296297
Pengyu Ma,2,1,1.5,23835600.0,27930767.0,0.5,1.5,23835600.0,27930767.0,275.875,323.2727662037037,275.875,323.2727662037037
Peng Xu,2,1,1.0,20943561.0,20943561.0,0.5,1.0,20943561.0,20943561.0,242.4023263888889,242.4023263888889,242.4023263888889,242.4023263888889
Patrick Talbert,2,1,1.0,7750344.0,7750344.0,0.5,1.0,7750344.0,7750344.0,89.70305555555555,89.70305555555555,89.70305555555555,89.70305555555555
Oskar Andero,2,1,2.0,45218640.0,135833700.0,0.5,2.0,45218640.0,135833700.0,523.3638888888889,1572.1493055555557,523.3638888888889,1572.1493055555557
Ohad Sharabi,2,1,1.0,11245445.0,11245445.0,0.5,1.0,11245445.0,11245445.0,130.15561342592594,130.15561342592594,130.15561342592594,130.15561342592594
Nils Holland,2,1,1.0,852234.0,852234.0,0.5,1.0,852234.0,852234.0,9.863819444444445,9.863819444444445,9.863819444444445,9.863819444444445
Nigel Hislop,2,1,1.0,274752871.0,274752871.0,0.5,1.0,274752871.0,274752871.0,3180.0100810185186,3180.0100810185186,3180.0100810185186,3180.0100810185186
